Art,Arthela,Year,Measure,ts,Series
187,Koltrast,1975,0.4569,1975-01-01T00:00:00Z,Vinter
187,Koltrast,1976,2.1897,1976-01-01T00:00:00Z,Vinter
187,Koltrast,1977,0.6765,1977-01-01T00:00:00Z,Vinter
187,Koltrast,1978,0.8667,1978-01-01T00:00:00Z,Vinter
187,Koltrast,1979,0.7343,1979-01-01T00:00:00Z,Vinter
187,Koltrast,1980,0.4302,1980-01-01T00:00:00Z,Vinter
187,Koltrast,1981,0.6132,1981-01-01T00:00:00Z,Vinter
187,Koltrast,1982,0.6679,1982-01-01T00:00:00Z,Vinter
187,Koltrast,1983,0.7555,1983-01-01T00:00:00Z,Vinter
187,Koltrast,1984,0.8746,1984-01-01T00:00:00Z,Vinter
187,Koltrast,1985,0.7791,1985-01-01T00:00:00Z,Vinter
187,Koltrast,1986,0.9351,1986-01-01T00:00:00Z,Vinter
187,Koltrast,1987,0.3517,1987-01-01T00:00:00Z,Vinter
187,Koltrast,1988,0.3893,1988-01-01T00:00:00Z,Vinter
187,Koltrast,1989,1.3875,1989-01-01T00:00:00Z,Vinter
187,Koltrast,1990,0.5905,1990-01-01T00:00:00Z,Vinter
187,Koltrast,1991,0.7744,1991-01-01T00:00:00Z,Vinter
187,Koltrast,1992,2.0823,1992-01-01T00:00:00Z,Vinter
187,Koltrast,1993,1.0345,1993-01-01T00:00:00Z,Vinter
187,Koltrast,1994,0.7433,1994-01-01T00:00:00Z,Vinter
187,Koltrast,1995,3.141,1995-01-01T00:00:00Z,Vinter
187,Koltrast,1996,1.0719,1996-01-01T00:00:00Z,Vinter
187,Koltrast,1997,0.4798,1997-01-01T00:00:00Z,Vinter
187,Koltrast,1998,1,1998-01-01T00:00:00Z,Vinter
187,Koltrast,1999,0.6531,1999-01-01T00:00:00Z,Vinter
187,Koltrast,2000,2.2329,2000-01-01T00:00:00Z,Vinter
187,Koltrast,2001,1.5068,2001-01-01T00:00:00Z,Vinter
187,Koltrast,2002,1.8392,2002-01-01T00:00:00Z,Vinter
187,Koltrast,2003,0.9791,2003-01-01T00:00:00Z,Vinter
187,Koltrast,2004,0.9749,2004-01-01T00:00:00Z,Vinter
187,Koltrast,2005,1.3198,2005-01-01T00:00:00Z,Vinter
187,Koltrast,2006,0.7926,2006-01-01T00:00:00Z,Vinter
187,Koltrast,2007,0.8044,2007-01-01T00:00:00Z,Vinter
187,Koltrast,2008,1.4454,2008-01-01T00:00:00Z,Vinter
187,Koltrast,2009,3.7517,2009-01-01T00:00:00Z,Vinter
187,Koltrast,2010,0.812,2010-01-01T00:00:00Z,Vinter
187,Koltrast,2011,0.8516,2011-01-01T00:00:00Z,Vinter
187,Koltrast,2012,0.7893,2012-01-01T00:00:00Z,Vinter
187,Koltrast,2013,0.9237,2013-01-01T00:00:00Z,Vinter
187,Koltrast,1975,0.8716,1975-01-01T00:00:00Z,Sommar
187,Koltrast,1976,0.9263,1976-01-01T00:00:00Z,Sommar
187,Koltrast,1977,0.8904,1977-01-01T00:00:00Z,Sommar
187,Koltrast,1978,0.907,1978-01-01T00:00:00Z,Sommar
187,Koltrast,1979,0.8456,1979-01-01T00:00:00Z,Sommar
187,Koltrast,1980,0.8218,1980-01-01T00:00:00Z,Sommar
187,Koltrast,1981,0.8779,1981-01-01T00:00:00Z,Sommar
187,Koltrast,1982,0.8464,1982-01-01T00:00:00Z,Sommar
187,Koltrast,1983,0.9297,1983-01-01T00:00:00Z,Sommar
187,Koltrast,1984,0.9085,1984-01-01T00:00:00Z,Sommar
187,Koltrast,1985,0.7066,1985-01-01T00:00:00Z,Sommar
187,Koltrast,1986,0.7773,1986-01-01T00:00:00Z,Sommar
187,Koltrast,1987,0.7378,1987-01-01T00:00:00Z,Sommar
187,Koltrast,1988,0.7091,1988-01-01T00:00:00Z,Sommar
187,Koltrast,1989,0.8704,1989-01-01T00:00:00Z,Sommar
187,Koltrast,1990,0.9894,1990-01-01T00:00:00Z,Sommar
187,Koltrast,1991,1.0186,1991-01-01T00:00:00Z,Sommar
187,Koltrast,1992,0.9546,1992-01-01T00:00:00Z,Sommar
187,Koltrast,1993,1.138,1993-01-01T00:00:00Z,Sommar
187,Koltrast,1994,1.074,1994-01-01T00:00:00Z,Sommar
187,Koltrast,1995,1.138,1995-01-01T00:00:00Z,Sommar
187,Koltrast,1996,1.1017,1996-01-01T00:00:00Z,Sommar
187,Koltrast,1997,1.0181,1997-01-01T00:00:00Z,Sommar
187,Koltrast,1998,1,1998-01-01T00:00:00Z,Sommar
187,Koltrast,1999,1.1354,1999-01-01T00:00:00Z,Sommar
187,Koltrast,2000,1.0503,2000-01-01T00:00:00Z,Sommar
187,Koltrast,2001,1.1812,2001-01-01T00:00:00Z,Sommar
187,Koltrast,2002,1.1238,2002-01-01T00:00:00Z,Sommar
187,Koltrast,2003,1.1673,2003-01-01T00:00:00Z,Sommar
187,Koltrast,2004,1.1235,2004-01-01T00:00:00Z,Sommar
187,Koltrast,2005,1.2085,2005-01-01T00:00:00Z,Sommar
187,Koltrast,2006,1.1139,2006-01-01T00:00:00Z,Sommar
187,Koltrast,2007,1.1318,2007-01-01T00:00:00Z,Sommar
187,Koltrast,2008,1.1178,2008-01-01T00:00:00Z,Sommar
187,Koltrast,2009,1.1059,2009-01-01T00:00:00Z,Sommar
187,Koltrast,2010,1.0787,2010-01-01T00:00:00Z,Sommar
187,Koltrast,2011,0.9274,2011-01-01T00:00:00Z,Sommar
187,Koltrast,2012,0.9608,2012-01-01T00:00:00Z,Sommar
187,Koltrast,2013,0.8909,2013-01-01T00:00:00Z,Sommar
187,Koltrast,2014,0.9713,2014-01-01T00:00:00Z,Sommar
187,Koltrast,1998,1,1998-01-01T00:00:00Z,Standard
187,Koltrast,1999,1.0714,1999-01-01T00:00:00Z,Standard
187,Koltrast,2000,1.101,2000-01-01T00:00:00Z,Standard
187,Koltrast,2001,1.2955,2001-01-01T00:00:00Z,Standard
187,Koltrast,2002,1.3418,2002-01-01T00:00:00Z,Standard
187,Koltrast,2003,1.3478,2003-01-01T00:00:00Z,Standard
187,Koltrast,2004,1.282,2004-01-01T00:00:00Z,Standard
187,Koltrast,2005,1.4398,2005-01-01T00:00:00Z,Standard
187,Koltrast,2006,1.3463,2006-01-01T00:00:00Z,Standard
187,Koltrast,2007,1.4156,2007-01-01T00:00:00Z,Standard
187,Koltrast,2008,1.3816,2008-01-01T00:00:00Z,Standard
187,Koltrast,2009,1.4489,2009-01-01T00:00:00Z,Standard
187,Koltrast,2010,1.4581,2010-01-01T00:00:00Z,Standard
187,Koltrast,2011,1.1852,2011-01-01T00:00:00Z,Standard
187,Koltrast,2012,1.3481,2012-01-01T00:00:00Z,Standard
187,Koltrast,2013,1.2154,2013-01-01T00:00:00Z,Standard
187,Koltrast,2014,1.2385,2014-01-01T00:00:00Z,Standard
187,Koltrast,2010,1,2010-01-01T00:00:00Z,Natt
187,Koltrast,2011,0.8565,2011-01-01T00:00:00Z,Natt
187,Koltrast,2012,1.1393,2012-01-01T00:00:00Z,Natt
187,Koltrast,2013,0.8615,2013-01-01T00:00:00Z,Natt
187,Koltrast,2014,1.0677,2014-01-01T00:00:00Z,Natt
